date,sales
2013-01-01,810.0
2013-01-02,72092.0
2013-01-03,52105.0
2013-01-04,54167.0
2013-01-05,77818.0
2013-01-06,86184.0
2013-01-07,51619.0
2013-01-08,46941.0
2013-01-09,47910.0
2013-01-10,42390.0
2013-01-11,50793.0
2013-01-12,72754.0
2013-01-13,82854.0
2013-01-14,50195.0
2013-01-15,46604.0
2013-01-16,49122.0
2013-01-17,41646.0
2013-01-18,50245.0
2013-01-19,77014.0
2013-01-20,83841.0
2013-01-21,51118.0
2013-01-22,42931.0
2013-01-23,43549.0
2013-01-24,38394.0
2013-01-25,46689.0
2013-01-26,69586.0
2013-01-27,70851.0
2013-01-28,42178.0
2013-01-29,40592.0
2013-01-30,44583.0
2013-01-31,43078.0
2013-02-01,56866.0
2013-02-02,79804.0
2013-02-03,72329.0
2013-02-04,44528.0
2013-02-05,42741.0
2013-02-06,46479.0
2013-02-07,46000.0
2013-02-08,62111.0
2013-02-09,67626.0
2013-02-10,52689.0
2013-02-11,47522.0
2013-02-12,47483.0
2013-02-13,46575.0
2013-02-14,41366.0
2013-02-15,51659.0
2013-02-16,81385.0
2013-02-17,66902.0
2013-02-18,51503.0
2013-02-19,43284.0
2013-02-20,47312.0
2013-02-21,41292.0
2013-02-22,46619.0
2013-02-23,69259.0
2013-02-24,77335.0
2013-02-25,48718.0
2013-02-26,41366.0
2013-02-27,44791.0
2013-02-28,42710.0
2013-03-01,56760.0
2013-03-02,86736.0
2013-03-03,87516.0
2013-03-04,55912.0
2013-03-05,51642.0
2013-03-06,50242.0
2013-03-07,46922.0
2013-03-08,51941.0
2013-03-09,78980.0
2013-03-10,78363.0
2013-03-11,50501.0
2013-03-12,42810.0
2013-03-13,45023.0
2013-03-14,39000.0
2013-03-15,50897.0
2013-03-16,76480.0
2013-03-17,82922.0
2013-03-18,47279.0
2013-03-19,42741.0
2013-03-20,47078.0
2013-03-21,38349.0
2013-03-22,50035.0
2013-03-23,75968.0
2013-03-24,75445.0
2013-03-25,49999.0
2013-03-26,42925.0
2013-03-27,48816.0
2013-03-28,55021.0
2013-03-29,61859.0
2013-03-30,76877.0
2013-03-31,77181.0
2013-04-01,60003.0
2013-04-02,54001.0
2013-04-03,55428.0
2013-04-04,46133.0
2013-04-05,54537.0
2013-04-06,85635.0
2013-04-07,85682.0
2013-04-08,52047.0
2013-04-09,47664.0
2013-04-10,49143.0
2013-04-11,47706.0
2013-04-12,55103.0
2013-04-13,78856.0
2013-04-14,81527.0
2013-04-15,52278.0
