date,sales
2013-01-01,186.0
2013-01-02,74629.0
2013-01-03,55893.0
2013-01-04,52064.0
2013-01-05,70128.0
2013-01-06,74295.0
2013-01-07,50036.0
2013-01-08,45075.0
2013-01-09,42958.0
2013-01-10,38621.0
2013-01-11,38550.0
2013-01-12,56040.0
2013-01-13,61070.0
2013-01-14,41137.0
2013-01-15,41274.0
2013-01-16,45278.0
2013-01-17,37144.0
2013-01-18,40049.0
2013-01-19,57508.0
2013-01-20,59823.0
2013-01-21,43332.0
2013-01-22,44098.0
2013-01-23,39310.0
2013-01-24,33314.0
2013-01-25,39071.0
2013-01-26,54997.0
2013-01-27,56881.0
2013-01-28,39750.0
2013-01-29,37370.0
2013-01-30,40999.0
2013-01-31,37971.0
2013-02-01,52619.0
2013-02-02,74849.0
2013-02-03,71129.0
2013-02-04,50354.0
2013-02-05,47853.0
2013-02-06,46676.0
2013-02-07,41248.0
2013-02-08,44114.0
2013-02-09,54656.0
2013-02-10,39606.0
2013-02-11,34940.0
2013-02-12,39825.0
2013-02-13,43666.0
2013-02-14,36495.0
2013-02-15,45162.0
2013-02-16,63974.0
2013-02-17,49745.0
2013-02-18,47713.0
2013-02-19,40778.0
2013-02-20,42701.0
2013-02-21,36251.0
2013-02-22,36216.0
2013-02-23,52284.0
2013-02-24,56132.0
2013-02-25,42106.0
2013-02-26,36171.0
2013-02-27,38158.0
2013-02-28,37557.0
2013-03-01,50716.0
2013-03-02,73145.0
2013-03-03,74686.0
2013-03-04,53750.0
2013-03-05,46642.0
2013-03-06,45721.0
2013-03-07,40193.0
2013-03-08,40153.0
2013-03-09,58473.0
2013-03-10,59179.0
2013-03-11,43358.0
2013-03-12,37032.0
2013-03-13,40020.0
2013-03-14,32759.0
2013-03-15,42240.0
2013-03-16,63682.0
2013-03-17,66896.0
2013-03-18,44675.0
2013-03-19,40183.0
2013-03-20,45118.0
2013-03-21,36121.0
2013-03-22,38594.0
2013-03-23,59222.0
2013-03-24,56522.0
2013-03-25,42234.0
2013-03-26,35316.0
2013-03-27,40165.0
2013-03-28,39539.0
2013-03-29,38905.0
2013-03-30,59507.0
2013-03-31,60644.0
2013-04-01,59754.0
2013-04-02,54174.0
2013-04-03,52740.0
2013-04-04,42335.0
2013-04-05,42893.0
2013-04-06,65129.0
2013-04-07,65394.0
2013-04-08,46974.0
2013-04-09,39987.0
2013-04-10,41838.0
2013-04-11,36878.0
2013-04-12,39870.0
2013-04-13,56316.0
2013-04-14,58948.0
2013-04-15,44373.0
2013-04-16,45225.0
2013-04-17,42197.0
2013-04-18,34874.0
2013-04-19,39745.0
2013-04-20,57204.0
2013-04-21,60431.0
2013-04-22,43780.0
2013-04-23,41287.0
2013-04-24,42082.0
2013-04-25,34759.0
2013-04-26,36166.0
2013-04-27,55782.0
2013-04-28,57879.0
2013-04-29,42202.0
2013-04-30,40010.0
2013-05-01,67713.0
2013-05-02,46745.0
2013-05-03,47378.0
2013-05-04,67928.0
2013-05-05,73366.0
2013-05-06,48727.0
2013-05-07,41774.0
2013-05-08,46704.0
2013-05-09,39983.0
2013-05-10,40397.0
2013-05-11,57758.0
2013-05-12,43574.0
2013-05-13,45819.0
2013-05-14,41563.0
2013-05-15,43530.0
2013-05-16,40195.0
2013-05-17,41849.0
2013-05-18,61472.0
2013-05-19,65168.0
2013-05-20,46856.0
2013-05-21,39699.0
2013-05-22,40354.0
2013-05-23,36734.0
2013-05-24,48762.0
2013-05-25,52277.0
2013-05-26,55387.0
2013-05-27,41707.0
2013-05-28,40215.0
2013-05-29,40167.0
2013-05-30,38760.0
2013-05-31,43734.0
2013-06-01,73784.0
2013-06-02,82451.0
2013-06-03,57825.0
2013-06-04,49762.0
2013-06-05,49176.0
2013-06-06,41651.0
2013-06-07,44589.0
2013-06-08,58847.0
2013-06-09,65868.0
2013-06-10,45628.0
2013-06-11,35722.0
2013-06-12,40894.0
2013-06-13,34801.0
2013-06-14,39630.0
2013-06-15,59716.0
2013-06-16,51000.0
2013-06-17,49138.0
2013-06-18,41623.0
2013-06-19,40432.0
2013-06-20,39171.0
2013-06-21,39970.0
2013-06-22,55010.0
2013-06-23,60861.0
2013-06-24,42787.0
2013-06-25,38445.0
2013-06-26,39048.0
2013-06-27,33509.0
2013-06-28,40331.0
2013-06-29,65030.0
2013-06-30,67239.0
2013-07-01,60500.0
2013-07-02,53806.0
2013-07-03,50314.0
2013-07-04,43840.0
2013-07-05,45047.0
2013-07-06,61406.0
2013-07-07,62586.0
2013-07-08,47337.0
2013-07-09,40510.0
2013-07-10,39368.0
2013-07-11,35528.0
2013-07-12,37045.0
2013-07-13,52120.0
2013-07-14,52992.0
2013-07-15,43261.0
2013-07-16,42420.0
2013-07-17,41535.0
2013-07-18,34932.0
2013-07-19,37324.0
2013-07-20,53502.0
2013-07-21,53203.0
2013-07-22,44115.0
2013-07-23,40613.0
2013-07-24,39221.0
2013-07-25,36492.0
2013-07-26,37034.0
2013-07-27,51001.0
2013-07-28,52888.0
2013-07-29,43304.0
2013-07-30,41071.0
2013-07-31,46168.0
2013-08-01,50985.0
2013-08-02,49218.0
2013-08-03,66399.0
2013-08-04,65632.0
2013-08-05,53938.0
2013-08-06,46978.0
2013-08-07,45305.0
2013-08-08,38488.0
2013-08-09,39998.0
2013-08-10,51222.0
2013-08-11,53015.0
2013-08-12,43990.0
2013-08-13,40212.0
2013-08-14,38913.0
2013-08-15,38955.0
2013-08-16,43525.0
2013-08-17,54716.0
2013-08-18,56896.0
2013-08-19,46369.0
2013-08-20,43924.0
2013-08-21,42446.0
2013-08-22,36883.0
2013-08-23,40122.0
2013-08-24,51862.0
2013-08-25,54816.0
2013-08-26,44365.0
2013-08-27,40046.0
2013-08-28,39054.0
2013-08-29,35944.0
2013-08-30,42891.0
2013-08-31,65112.0
2013-09-01,79732.0
2013-09-02,59036.0
2013-09-03,52147.0
2013-09-04,50969.0
2013-09-05,42494.0
2013-09-06,40168.0
2013-09-07,63284.0
2013-09-08,67130.0
2013-09-09,45338.0
2013-09-10,38455.0
2013-09-11,41736.0
2013-09-12,34416.0
2013-09-13,36821.0
2013-09-14,55811.0
2013-09-15,60370.0
2013-09-16,46389.0
2013-09-17,40558.0
2013-09-18,38596.0
2013-09-19,33456.0
2013-09-20,41139.0
2013-09-21,53543.0
2013-09-22,56867.0
2013-09-23,43361.0
2013-09-24,36472.0
2013-09-25,40058.0
2013-09-26,33100.0
2013-09-27,37239.0
2013-09-28,58402.0
2013-09-29,61950.0
2013-09-30,46788.0
2013-10-01,56507.0
2013-10-02,53753.0
2013-10-03,44996.0
2013-10-04,46371.0
2013-10-05,66095.0
2013-10-06,66259.0
2013-10-07,48104.0
2013-10-08,40751.0
2013-10-09,40088.0
2013-10-10,35729.0
2013-10-11,41791.0
2013-10-12,49019.0
2013-10-13,55187.0
2013-10-14,40737.0
2013-10-15,36138.0
2013-10-16,44336.0
2013-10-17,37612.0
2013-10-18,37331.0
2013-10-19,57727.0
2013-10-20,61517.0
2013-10-21,42990.0
2013-10-22,37667.0
2013-10-23,38273.0
2013-10-24,32591.0
2013-10-25,37085.0
2013-10-26,52098.0
2013-10-27,57584.0
2013-10-28,42552.0
2013-10-29,36857.0
2013-10-30,39172.0
2013-10-31,37201.0
2013-11-01,48938.0
2013-11-02,64888.0
2013-11-03,75073.0
2013-11-04,56467.0
2013-11-05,48922.0
2013-11-06,47074.0
2013-11-07,39338.0
2013-11-08,40372.0
2013-11-09,57143.0
2013-11-10,64418.0
2013-11-11,42337.0
2013-11-12,38010.0
2013-11-13,38708.0
2013-11-14,32074.0
2013-11-15,37819.0
2013-11-16,58297.0
2013-11-17,62171.0
2013-11-18,43626.0
2013-11-19,37536.0
2013-11-20,41389.0
2013-11-21,34512.0
2013-11-22,37175.0
2013-11-23,53118.0
2013-11-24,58074.0
2013-11-25,40902.0
2013-11-26,36982.0
2013-11-27,36495.0
2013-11-28,34317.0
2013-11-29,39091.0
2013-11-30,63018.0
2013-12-01,78915.0
2013-12-02,57741.0
2013-12-03,50876.0
2013-12-04,50048.0
2013-12-05,41018.0
2013-12-06,49209.0
2013-12-07,61731.0
2013-12-08,67209.0
2013-12-09,47597.0
2013-12-10,44431.0
2013-12-11,44857.0
2013-12-12,40820.0
2013-12-13,44416.0
2013-12-14,59945.0
2013-12-15,70719.0
2013-12-16,53661.0
2013-12-17,48748.0
2013-12-18,50994.0
2013-12-19,50312.0
2013-12-20,51338.0
2013-12-21,69458.0
2013-12-22,77260.0
2013-12-23,74743.0
2013-12-24,59878.0
2013-12-26,58866.0
2013-12-27,55982.0
2013-12-28,67336.0
2013-12-29,62549.0
2013-12-30,78156.0
2013-12-31,56095.0
2014-01-01,456.0
2014-01-02,73045.0
2014-01-03,63840.0
2014-01-04,86517.0
2014-01-05,84114.0
2014-01-06,56076.0
2014-01-07,51623.0
2014-01-08,52662.0
2014-01-09,43303.0
2014-01-10,46122.0
2014-01-11,65310.0
2014-01-12,68177.0
2014-01-13,47888.0
2014-01-14,41103.0
2014-01-15,46367.0
2014-01-16,42172.0
2014-01-17,44598.0
2014-01-18,65096.0
2014-01-19,67451.0
2014-01-20,47474.0
2014-01-21,45838.0
2014-01-22,44101.0
2014-01-23,38087.0
2014-01-24,42501.0
2014-01-25,60234.0
2014-01-26,64115.0
2014-01-27,45319.0
2014-01-28,40374.0
2014-01-29,39598.0
2014-01-30,39035.0
2014-01-31,47049.0
2014-02-01,80356.0
2014-02-02,75341.0
2014-02-03,58276.0
2014-02-04,52125.0
2014-02-05,48996.0
2014-02-06,43707.0
2014-02-07,45669.0
2014-02-08,61436.0
2014-02-09,60058.0
2014-02-10,47342.0
2014-02-11,42327.0
2014-02-12,44358.0
2014-02-13,39185.0
2014-02-14,36458.0
2014-02-15,60222.0
2014-02-16,68125.0
2014-02-17,48599.0
2014-02-18,43308.0
2014-02-19,44453.0
2014-02-20,38939.0
2014-02-21,43919.0
2014-02-22,62419.0
2014-02-23,54010.0
2014-02-24,49593.0
2014-02-25,41186.0
2014-02-26,43884.0
2014-02-27,41289.0
2014-02-28,50059.0
2014-03-01,86784.0
2014-03-02,61308.0
2014-03-03,53346.0
2014-03-04,64251.0
2014-03-05,67544.0
