date,sales
2013-01-01,143.0
2013-01-02,23381.0
2013-01-03,18001.0
2013-01-04,18148.0
2013-01-05,23082.0
2013-01-06,23660.0
2013-01-07,15839.0
2013-01-08,14532.0
2013-01-09,16250.0
2013-01-10,13557.0
2013-01-11,15639.0
2013-01-12,20530.0
2013-01-13,21849.0
2013-01-14,14780.0
2013-01-15,14908.0
2013-01-16,17875.0
2013-01-17,14384.0
2013-01-18,16354.0
2013-01-19,21939.0
2013-01-20,22377.0
2013-01-21,15761.0
2013-01-22,14133.0
2013-01-23,15529.0
2013-01-24,13177.0
2013-01-25,16239.0
2013-01-26,21641.0
2013-01-27,21715.0
2013-01-28,14698.0
2013-01-29,13979.0
2013-01-30,15792.0
2013-01-31,13845.0
2013-02-01,18803.0
2013-02-02,24619.0
2013-02-03,22983.0
2013-02-04,16580.0
2013-02-05,15780.0
2013-02-06,17152.0
2013-02-07,14610.0
2013-02-08,17588.0
2013-02-09,21084.0
2013-02-10,14985.0
2013-02-11,14945.0
2013-02-12,16735.0
2013-02-13,18255.0
2013-02-14,15812.0
2013-02-15,17682.0
2013-02-16,24995.0
2013-02-17,20423.0
2013-02-18,17738.0
2013-02-19,15049.0
2013-02-20,17373.0
2013-02-21,14300.0
2013-02-22,16639.0
2013-02-23,21876.0
2013-02-24,22905.0
2013-02-25,15494.0
2013-02-26,14537.0
2013-02-27,16441.0
2013-02-28,14490.0
2013-03-01,20165.0
2013-03-02,26680.0
2013-03-03,26544.0
2013-03-04,18023.0
2013-03-05,16133.0
2013-03-06,18463.0
2013-03-07,15550.0
2013-03-08,16555.0
2013-03-09,23473.0
2013-03-10,23395.0
2013-03-11,16493.0
2013-03-12,14588.0
2013-03-13,16827.0
2013-03-14,13784.0
2013-03-15,17758.0
2013-03-16,24927.0
2013-03-17,25339.0
2013-03-18,16948.0
2013-03-19,15283.0
2013-03-20,18318.0
2013-03-21,14709.0
2013-03-22,17845.0
2013-03-23,24374.0
2013-03-24,23287.0
2013-03-25,17325.0
2013-03-26,16443.0
2013-03-27,22602.0
2013-03-28,24350.0
2013-03-29,22635.0
2013-03-30,21678.0
2013-03-31,22014.0
2013-04-01,20547.0
2013-04-02,18358.0
2013-04-03,19411.0
2013-04-04,15572.0
2013-04-05,17628.0
2013-04-06,25030.0
2013-04-07,25301.0
2013-04-08,16770.0
2013-04-09,14774.0
2013-04-10,17468.0
2013-04-11,14694.0
2013-04-12,16546.0
2013-04-13,23140.0
2013-04-14,23543.0
2013-04-15,16801.0
2013-04-16,16303.0
2013-04-17,18094.0
2013-04-18,14322.0
2013-04-19,16648.0
2013-04-20,23846.0
2013-04-21,24814.0
2013-04-22,16751.0
2013-04-23,15475.0
2013-04-24,17442.0
2013-04-25,14590.0
2013-04-26,16443.0
2013-04-27,22549.0
2013-04-28,24204.0
2013-04-29,16189.0
2013-04-30,16337.0
2013-05-01,25021.0
2013-05-02,16765.0
2013-05-03,18885.0
2013-05-04,25054.0
2013-05-05,27558.0
2013-05-06,17747.0
2013-05-07,16070.0
2013-05-08,18516.0
2013-05-09,16190.0
2013-05-10,19498.0
2013-05-11,29665.0
2013-05-12,19815.0
2013-05-13,16943.0
2013-05-14,15632.0
2013-05-15,17846.0
2013-05-16,16244.0
2013-05-17,17383.0
2013-05-18,23726.0
2013-05-19,25260.0
2013-05-20,16891.0
2013-05-21,15882.0
2013-05-22,17141.0
2013-05-23,15479.0
2013-05-24,21380.0
2013-05-25,20912.0
2013-05-26,21737.0
2013-05-27,16283.0
2013-05-28,16368.0
2013-05-29,17096.0
2013-05-30,15380.0
2013-05-31,17290.0
2013-06-01,26496.0
2013-06-02,28756.0
2013-06-03,19967.0
2013-06-04,18040.0
2013-06-05,18949.0
2013-06-06,15383.0
2013-06-07,18530.0
2013-06-08,22914.0
2013-06-09,25489.0
2013-06-10,17056.0
2013-06-11,15142.0
2013-06-12,17837.0
2013-06-13,15619.0
2013-06-14,19126.0
2013-06-15,28357.0
2013-06-16,21876.0
2013-06-17,18211.0
2013-06-18,16835.0
2013-06-19,17431.0
2013-06-20,15173.0
2013-06-21,16942.0
2013-06-22,22638.0
2013-06-23,23896.0
2013-06-24,16798.0
2013-06-25,15988.0
2013-06-26,16560.0
2013-06-27,13957.0
2013-06-28,17357.0
2013-06-29,24261.0
2013-06-30,25314.0
2013-07-01,20588.0
2013-07-02,19400.0
2013-07-03,19231.0
2013-07-04,16077.0
2013-07-05,18119.0
2013-07-06,23404.0
2013-07-07,23767.0
2013-07-08,18117.0
2013-07-09,16620.0
2013-07-10,17396.0
2013-07-11,14572.0
2013-07-12,16345.0
2013-07-13,21912.0
2013-07-14,22278.0
2013-07-15,17956.0
2013-07-16,17667.0
2013-07-17,18233.0
2013-07-18,15027.0
2013-07-19,17334.0
2013-07-20,21896.0
2013-07-21,21973.0
2013-07-22,17809.0
2013-07-23,17008.0
2013-07-24,17315.0
2013-07-25,15663.0
2013-07-26,17290.0
2013-07-27,21383.0
2013-07-28,21329.0
2013-07-29,16600.0
2013-07-30,16308.0
2013-07-31,18310.0
2013-08-01,18459.0
2013-08-02,19057.0
2013-08-03,23672.0
2013-08-04,23322.0
2013-08-05,18738.0
2013-08-06,17042.0
2013-08-07,17859.0
2013-08-08,14823.0
2013-08-09,17339.0
2013-08-10,20828.0
2013-08-11,20693.0
2013-08-12,16970.0
2013-08-13,16012.0
2013-08-14,16427.0
2013-08-15,15356.0
2013-08-16,18261.0
2013-08-17,21469.0
2013-08-18,21972.0
2013-08-19,17153.0
2013-08-20,16751.0
2013-08-21,17602.0
2013-08-22,14314.0
2013-08-23,17106.0
2013-08-24,21132.0
2013-08-25,21416.0
2013-08-26,17057.0
2013-08-27,15810.0
2013-08-28,17726.0
2013-08-29,14891.0
2013-08-30,18461.0
2013-08-31,25203.0
2013-09-01,28786.0
2013-09-02,20882.0
2013-09-03,18939.0
2013-09-04,19822.0
2013-09-05,16071.0
2013-09-06,17055.0
2013-09-07,24946.0
2013-09-08,25626.0
2013-09-09,17730.0
2013-09-10,15326.0
2013-09-11,17625.0
2013-09-12,14568.0
2013-09-13,17110.0
2013-09-14,23681.0
2013-09-15,25385.0
2013-09-16,17640.0
2013-09-17,16033.0
2013-09-18,17184.0
2013-09-19,14052.0
2013-09-20,17261.0
2013-09-21,23014.0
2013-09-22,23933.0
2013-09-23,16905.0
2013-09-24,15471.0
2013-09-25,17132.0
2013-09-26,14208.0
2013-09-27,17311.0
2013-09-28,23959.0
2013-09-29,25433.0
2013-09-30,17685.0
2013-10-01,20203.0
2013-10-02,20565.0
2013-10-03,16583.0
2013-10-04,19490.0
2013-10-05,25691.0
2013-10-06,26016.0
2013-10-07,17927.0
2013-10-08,16111.0
2013-10-09,17239.0
2013-10-10,15835.0
2013-10-11,20643.0
2013-10-12,20854.0
2013-10-13,22537.0
2013-10-14,16986.0
2013-10-15,15376.0
2013-10-16,18828.0
2013-10-17,15405.0
2013-10-18,17365.0
2013-10-19,24625.0
2013-10-20,26017.0
2013-10-21,16761.0
2013-10-22,15196.0
2013-10-23,17212.0
2013-10-24,14004.0
2013-10-25,17177.0
2013-10-26,22507.0
2013-10-27,24462.0
2013-10-28,16625.0
2013-10-29,14927.0
2013-10-30,16735.0
2013-10-31,14194.0
2013-11-01,19442.0
2013-11-02,25391.0
2013-11-03,26315.0
2013-11-04,18335.0
2013-11-05,29546.0
2013-11-06,29224.0
2013-11-07,23430.0
2013-11-08,25919.0
2013-11-09,37333.0
2013-11-10,45864.0
2013-11-11,29221.0
2013-11-12,25576.0
2013-11-13,26398.0
2013-11-14,21740.0
2013-11-15,25634.0
2013-11-16,39295.0
