date,sales
2013-01-01,0.0
2013-01-02,0.0
2013-01-03,0.0
2013-01-04,0.0
2013-01-05,0.0
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-11,0.0
2013-01-12,0.0
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,0.0
2013-01-18,0.0
2013-01-19,0.0
2013-01-20,0.0
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-25,0.0
2013-01-26,0.0
2013-01-27,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.0
2013-02-01,0.0
2013-02-02,0.0
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,0.0
2013-02-07,0.0
2013-02-08,0.0
2013-02-09,0.0
2013-02-10,0.0
2013-02-11,0.0
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,0.0
2013-02-15,0.0
2013-02-16,0.0
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,0.0
2013-02-20,0.0
2013-02-21,0.0
2013-02-22,0.0
2013-02-23,0.0
2013-02-24,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,0.0
2013-03-01,0.0
2013-03-02,0.0
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,0.0
2013-03-06,0.0
2013-03-07,0.0
2013-03-08,0.0
2013-03-09,0.0
2013-03-10,0.0
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-15,0.0
2013-03-16,480.0
2013-03-17,328.0
2013-03-18,38.0
2013-03-19,73.0
2013-03-20,75.0
2013-03-21,104.0
2013-03-22,232.0
2013-03-23,449.0
2013-03-24,321.0
2013-03-25,93.0
2013-03-26,108.0
2013-03-27,111.0
2013-03-28,213.0
2013-03-29,335.0
2013-03-30,728.0
2013-03-31,349.0
2013-04-01,64.0
2013-04-02,62.0
2013-04-03,86.0
2013-04-04,137.0
2013-04-05,289.0
2013-04-06,562.0
2013-04-07,335.0
2013-04-08,68.0
2013-04-09,51.0
2013-04-10,88.0
2013-04-11,128.0
2013-04-12,302.0
2013-04-13,560.0
2013-04-14,334.0
2013-04-15,71.0
2013-04-16,47.0
2013-04-17,80.0
2013-04-18,84.0
2013-04-19,311.0
2013-04-20,515.0
2013-04-21,251.0
2013-04-22,59.0
2013-04-23,46.0
2013-04-24,114.0
2013-04-25,121.0
2013-04-26,257.0
2013-04-27,515.0
2013-04-28,354.0
2013-04-29,120.0
2013-04-30,297.0
2013-05-01,507.0
2013-05-02,89.0
2013-05-03,247.0
2013-05-04,466.0
2013-05-05,304.0
2013-05-06,89.0
2013-05-07,60.0
2013-05-08,98.0
2013-05-09,158.0
2013-05-10,466.0
2013-05-11,1260.0
2013-05-12,935.0
2013-05-13,38.0
2013-05-14,106.0
2013-05-15,65.0
2013-05-16,114.0
2013-05-17,277.0
2013-05-18,483.0
2013-05-19,344.0
2013-05-20,95.0
2013-05-21,68.0
2013-05-22,139.0
2013-05-23,297.0
2013-05-24,746.0
2013-05-25,549.0
2013-05-26,235.0
2013-05-27,56.0
2013-05-28,108.0
2013-05-29,62.0
2013-05-30,95.0
2013-05-31,280.0
2013-06-01,505.0
2013-06-02,318.0
2013-06-03,77.0
2013-06-04,83.0
2013-06-05,78.0
2013-06-06,148.0
2013-06-07,476.0
2013-06-08,527.0
2013-06-09,345.0
2013-06-10,81.0
2013-06-11,67.0
2013-06-12,79.0
2013-06-13,190.0
2013-06-14,514.0
2013-06-15,1085.0
2013-06-16,934.0
2013-06-17,69.0
2013-06-18,72.0
2013-06-19,93.0
2013-06-20,143.0
2013-06-21,314.0
2013-06-22,551.0
2013-06-23,289.0
2013-06-24,75.0
2013-06-25,64.0
2013-06-26,109.0
2013-06-27,134.0
2013-06-28,326.0
2013-06-29,571.0
2013-06-30,314.0
2013-07-01,57.0
2013-07-02,82.0
2013-07-03,134.0
2013-07-04,151.0
2013-07-05,295.0
2013-07-06,562.0
2013-07-07,413.0
2013-07-08,85.0
2013-07-09,106.0
2013-07-10,96.0
2013-07-11,102.0
2013-07-12,386.0
2013-07-13,582.0
2013-07-14,382.0
2013-07-15,102.0
2013-07-16,74.0
2013-07-17,109.0
2013-07-18,120.0
2013-07-19,413.0
2013-07-20,555.0
2013-07-21,415.0
2013-07-22,85.0
2013-07-23,91.0
2013-07-24,181.0
2013-07-25,199.0
2013-07-26,412.0
2013-07-27,652.0
2013-07-28,358.0
2013-07-29,57.0
2013-07-30,88.0
2013-07-31,119.0
2013-08-01,153.0
2013-08-02,377.0
2013-08-03,602.0
2013-08-04,343.0
2013-08-05,94.0
2013-08-06,75.0
2013-08-07,110.0
2013-08-08,164.0
2013-08-09,330.0
2013-08-10,547.0
2013-08-11,383.0
2013-08-12,74.0
2013-08-13,74.0
2013-08-14,108.0
2013-08-15,159.0
2013-08-16,361.0
2013-08-17,576.0
2013-08-18,357.0
2013-08-19,77.0
2013-08-20,122.0
2013-08-21,118.0
2013-08-22,126.0
2013-08-23,409.0
2013-08-24,622.0
2013-08-25,411.0
2013-08-26,48.0
2013-08-27,77.0
2013-08-28,103.0
2013-08-29,161.0
2013-08-30,401.0
2013-08-31,556.0
2013-09-01,277.0
2013-09-02,57.0
2013-09-03,117.0
2013-09-04,90.0
2013-09-05,144.0
2013-09-06,336.0
2013-09-07,600.0
2013-09-08,405.0
2013-09-09,92.0
2013-09-10,80.0
2013-09-11,88.0
2013-09-12,156.0
2013-09-13,307.0
2013-09-14,591.0
2013-09-15,317.0
2013-09-16,66.0
2013-09-17,53.0
2013-09-18,112.0
2013-09-19,129.0
2013-09-20,342.0
2013-09-21,511.0
2013-09-22,343.0
2013-09-23,51.0
2013-09-24,50.0
2013-09-25,112.0
2013-09-26,122.0
2013-09-27,313.0
2013-09-28,571.0
2013-09-29,343.0
2013-09-30,46.0
2013-10-01,101.0
2013-10-02,113.0
2013-10-03,113.0
2013-10-04,336.0
2013-10-05,486.0
2013-10-06,285.0
2013-10-07,47.0
2013-10-08,56.0
2013-10-09,87.0
2013-10-10,143.0
2013-10-11,386.0
2013-10-12,426.0
2013-10-13,237.0
2013-10-14,60.0
2013-10-15,73.0
2013-10-16,71.0
2013-10-17,95.0
2013-10-18,276.0
2013-10-19,522.0
2013-10-20,364.0
2013-10-21,45.0
2013-10-22,63.0
2013-10-23,63.0
2013-10-24,119.0
2013-10-25,278.0
2013-10-26,470.0
2013-10-27,289.0
2013-10-28,65.0
2013-10-29,48.0
2013-10-30,94.0
2013-10-31,99.0
2013-11-01,337.0
2013-11-02,625.0
2013-11-03,340.0
2013-11-04,63.0
2013-11-05,50.0
2013-11-06,72.0
2013-11-07,95.0
2013-11-08,264.0
2013-11-09,463.0
2013-11-10,340.0
2013-11-11,74.0
2013-11-12,72.0
2013-11-13,104.0
2013-11-14,125.0
2013-11-15,316.0
2013-11-16,508.0
2013-11-17,357.0
2013-11-18,62.0
2013-11-19,60.0
2013-11-20,78.0
2013-11-21,96.0
2013-11-22,316.0
2013-11-23,573.0
2013-11-24,360.0
2013-11-25,54.0
2013-11-26,94.0
2013-11-27,112.0
2013-11-28,124.0
2013-11-29,262.0
2013-11-30,491.0
2013-12-01,345.0
2013-12-02,62.0
2013-12-03,101.0
2013-12-04,167.0
2013-12-05,302.0
2013-12-06,444.0
2013-12-07,582.0
2013-12-08,293.0
2013-12-09,76.0
2013-12-10,62.0
2013-12-11,139.0
2013-12-12,149.0
2013-12-13,362.0
2013-12-14,541.0
2013-12-15,339.0
2013-12-16,142.0
2013-12-17,111.0
2013-12-18,190.0
2013-12-19,238.0
2013-12-20,457.0
2013-12-21,548.0
2013-12-22,392.0
2013-12-23,306.0
2013-12-24,410.0
2013-12-26,289.0
2013-12-27,450.0
2013-12-28,546.0
2013-12-29,517.0
2013-12-30,654.0
2013-12-31,580.0
2014-01-01,1198.3434
2014-01-02,133744.2529
2014-01-03,110757.032
2014-01-04,139361.6838
2014-01-05,150551.85602
2014-01-06,97197.098
2014-01-07,101097.32593
2014-01-08,144872.59137
2014-01-09,85412.3739
2014-01-10,89322.65120000001
2014-01-11,124154.2179
2014-01-12,135340.60479
2014-01-13,95336.38598
2014-01-14,91657.15528
2014-01-15,127888.6201
2014-01-16,82577.4709
2014-01-17,89481.245
2014-01-18,124360.827
2014-01-19,135768.328
2014-01-20,92622.31795
2014-01-21,95043.71189
2014-01-22,126741.2809
2014-01-23,77732.742
2014-01-24,86489.29687
2014-01-25,117262.743
2014-01-26,131090.78399
2014-01-27,89435.6317
2014-01-28,88642.2778
2014-01-29,118282.3559
2014-01-30,72583.0359
2014-01-31,87610.3419
2014-02-01,515.0
2014-02-02,317.0
2014-02-03,49.0
2014-02-04,108.0
2014-02-05,83.0
2014-02-06,163.0
2014-02-07,291.0
2014-02-08,518.0
2014-02-09,286.0
2014-02-10,63.0
2014-02-11,98.0
2014-02-12,91.0
2014-02-13,162.0
2014-02-14,351.0
2014-02-15,636.0
2014-02-16,322.0
2014-02-17,46.0
2014-02-18,72.0
2014-02-19,114.0
2014-02-20,145.0
2014-02-21,326.0
2014-02-22,633.0
2014-02-23,339.0
2014-02-24,55.0
2014-02-25,109.0
2014-02-26,115.0
2014-02-27,153.0
2014-02-28,416.0
2014-03-01,121690.1979
2014-03-02,93459.749
2014-03-03,91415.99740000001
2014-03-04,123212.9221
2014-03-05,147733.57457
2014-03-06,95998.41033
2014-03-07,93035.52689
2014-03-08,112228.7031
2014-03-09,142854.802
2014-03-10,97414.4029
2014-03-11,94824.5651
2014-03-12,129535.11807
2014-03-13,78128.2879
2014-03-14,85299.59821
2014-03-15,109695.50798
2014-03-16,146244.85703
2014-03-17,99798.8362
2014-03-18,94353.51173
2014-03-19,128156.509996
2014-03-20,81154.493
2014-03-21,89024.5879
2014-03-22,118970.7948
2014-03-23,134413.481
2014-03-24,96932.889
2014-03-25,94662.9554
2014-03-26,128689.20850000001
2014-03-27,75968.03997
2014-03-28,86952.0571
2014-03-29,124342.46889999999
2014-03-30,136004.8495
2014-03-31,100149.3474
2014-04-01,103.0
2014-04-02,73.0
2014-04-03,160.0
2014-04-04,292.0
2014-04-05,607.0
2014-04-06,355.0
2014-04-07,47.0
2014-04-08,124.0
2014-04-09,83.0
2014-04-10,120.0
2014-04-11,358.0
2014-04-12,570.0
2014-04-13,302.0
2014-04-14,79.0
2014-04-15,65.0
2014-04-16,106.0
2014-04-17,244.0
2014-04-18,370.0
2014-04-19,759.0
2014-04-20,334.0
2014-04-21,66.0
2014-04-22,59.0
2014-04-23,116.0
2014-04-24,104.0
2014-04-25,309.0
2014-04-26,541.0
2014-04-27,331.0
2014-04-28,76.0
2014-04-29,80.0
2014-04-30,319.0
2014-05-01,515.0
2014-05-02,385.0
2014-05-03,528.0
2014-05-04,269.0
2014-05-05,59.0
2014-05-06,60.0
2014-05-07,137.0
2014-05-08,156.0
2014-05-09,406.0
2014-05-10,1226.0
2014-05-11,1079.0
2014-05-12,55.0
2014-05-13,44.0
2014-05-14,105.0
2014-05-15,101.0
2014-05-16,290.0
2014-05-17,519.0
2014-05-18,355.0
2014-05-19,49.0
2014-05-20,92.0
2014-05-21,81.0
2014-05-22,121.0
2014-05-23,364.0
2014-05-24,659.0
2014-05-25,320.0
2014-05-26,43.0
2014-05-27,97.0
2014-05-28,77.0
2014-05-29,111.0
2014-05-30,326.0
2014-05-31,465.0
2014-06-01,341.0
2014-06-02,76.0
2014-06-03,53.0
2014-06-04,67.0
2014-06-05,101.0
2014-06-06,341.0
2014-06-07,454.0
2014-06-08,306.0
2014-06-09,79.0
2014-06-10,70.0
2014-06-11,116.0
2014-06-12,231.0
2014-06-13,515.0
