month,year,mean_sales,std_sales,min_sales,max_sales,sum_sales,sum_is_holiday,mean_dcoilwtico,month_name,seasonal_factor,seasonality_category
1,2014,554471.91,76415.4,453642.97,801011.23,12198381.97,0.0,94.59,January,0.8695389180419041,Below Average
1,2015,412521.71,113903.24,12773.62,657763.39,9075477.61,2.0,47.56,January,0.6469285006380145,Below Average
1,2016,649134.85,174766.68,16433.39,955956.88,13631831.76,1.0,31.84,January,1.0179920839133108,Average
1,2017,797681.74,175926.28,576515.54,1402306.37,17548998.2,1.0,52.55,January,1.250947621749465,Above Average
2,2014,377924.95,33978.99,322451.92,461637.52,7558498.95,0.0,100.79,February,0.5926728589804319,Below Average
2,2015,440354.91,45379.66,354938.23,538301.89,8807098.26,2.0,50.69,February,0.6905773314933844,Below Average
2,2016,701049.73,75059.06,557959.33,872063.31,14722044.28,2.0,30.28,February,1.0994065032397564,Average
2,2017,761078.92,86837.34,624387.49,961777.38,15221578.47,2.0,53.47,February,1.1935460186635982,Above Average
3,2014,578556.09,72131.37,468581.4,748930.9,12149677.96,2.0,100.8,March,0.9073084270854306,Average
3,2015,440013.05,42657.61,367006.96,546037.79,9680287.18,1.0,47.82,March,0.6900412167341683,Below Average
3,2016,683174.2,79002.37,572491.86,897927.64,15713006.58,2.0,37.57,March,1.0713735790549666,Average
3,2017,778190.1,82937.61,637624.34,1008521.71,17898372.39,1.0,49.33,March,1.2203802670272712,Above Average
4,2014,384849.91,40055.29,320875.48,485079.89,8466698.1,4.0,102.17,April,0.60353278194007,Below Average
4,2015,447389.97,47230.74,374839.19,557223.16,9842579.23,4.0,54.21,April,0.7016099164637571,Below Average
4,2016,778363.33,205936.09,543339.85,1345920.6,16345630.03,13.0,40.76,April,1.220651931333534,Above Average
4,2017,754730.66,56105.18,624910.03,846631.31,15094613.17,4.0,51.17,April,1.1835904933569172,Above Average
5,2014,374185.37,47852.76,310660.14,530380.85,8232078.05,2.0,102.31,May,0.5868083412501628,Below Average
5,2015,487020.54,61179.02,395609.67,674509.4,10227431.38,2.0,59.25,May,0.7637597248448237,Below Average
5,2016,722573.76,109972.35,571968.62,974327.99,15896622.78,13.0,46.83,May,1.1331611108592867,Above Average
5,2017,800533.66,141295.7,620108.24,1306699.37,18412274.18,4.0,48.52,May,1.2554200853430528,Above Average
6,2014,386800.73,47416.11,315798.18,512725.77,8122815.32,5.0,105.79,June,0.6065921143994808,Below Average
6,2015,649826.25,71339.39,510019.15,812081.2,14296177.54,2.0,59.82,June,1.019076357430312,Average
6,2016,666145.18,67257.87,547139.61,811525.32,14655193.92,1.0,48.76,June,1.0446681763843175,Average
6,2017,763891.32,79816.54,609868.83,918421.32,16805609.11,1.0,45.18,June,1.197956505847883,Above Average
7,2014,576272.39,63054.08,484618.82,747430.15,13254265.04,8.0,103.64,July,0.903727062563047,Average
7,2015,657452.73,77437.56,541511.42,885953.2,15121412.68,3.0,51.16,July,1.0310364243842327,Average
7,2016,669459.85,83377.2,533256.25,857027.55,14058656.75,1.0,44.86,July,1.0498663379385538,Average
7,2017,772631.09,73869.69,629651.36,925143.41,16225252.96,3.0,46.57,July,1.211662466443317,Above Average
8,2014,393014.29,42475.71,327912.43,506826.79,8253300.05,2.0,96.54,August,0.616336399262511,Below Average
8,2015,668567.27,73151.67,548043.33,811119.83,14039912.73,3.0,42.87,August,1.0484665681152894,Average
8,2016,688337.01,74816.45,554421.53,895580.41,15831751.18,5.0,44.72,August,1.0794700473169134,Average
8,2017,796345.45,102606.28,651386.91,988527.76,8759799.91,3.0,48.9,August,1.2488520130453376,Above Average
9,2014,594743.79,81836.56,466867.38,812526.22,13084363.42,0.0,93.42,September,0.9326944473503471,Average
9,2015,691523.93,84190.61,557321.61,906549.99,15213526.38,1.0,45.5,September,1.0844678676189123,Average
9,2016,662932.2,80193.54,520744.92,837129.59,14584508.35,1.0,45.15,September,1.0396294880350911,Average
10,2014,586075.23,73227.92,459715.27,784500.25,13479730.26,3.0,84.4,October,0.9191001603406024,Average
10,2015,672711.53,93891.75,511860.07,873934.72,14799653.61,2.0,46.22,October,1.054965716749319,Average
10,2016,662879.12,73985.31,544361.48,833060.56,13920461.53,1.0,49.78,October,1.0395462464408152,Average
11,2014,595109.43,107542.15,468057.39,973192.04,11902188.6,7.0,75.68,November,0.9332678545947157,Average
11,2015,678765.42,112862.77,506937.66,1033439.13,14254073.91,8.0,42.39,November,1.0644596024910598,Average
11,2016,748641.52,90626.71,588241.76,969033.62,16470113.39,8.0,45.71,November,1.17404132754362,Above Average
12,2014,781552.47,128092.74,578961.52,1064977.97,17194154.29,8.0,59.29,December,1.2256532331038694,Above Average
12,2015,868372.13,152623.15,657427.18,1196146.06,19104186.88,6.0,37.19,December,1.3618063399784195,Above Average
12,2016,932877.22,158603.22,674077.38,1282145.52,20523298.79,7.0,51.97,December,1.462965091495328,Above Average
