week,arima_pct_error,linear_regression_pct_error,exp_smoothing_pct_error,ensemble_pct_error,actual,best_model
15,4.32,2.72,7.37,2.67,756560.45,ensemble_pct_error
16,3.87,4.63,9.57,30.58,740089.27,arima_pct_error
17,6.22,7.94,17.65,26.93,735554.91,arima_pct_error
18,14.74,12.12,13.87,26.99,927144.75,linear_regression_pct_error
19,5.0,7.5,18.91,20.82,734336.69,arima_pct_error
20,7.12,10.59,48.27,34.19,774902.1,arima_pct_error
21,10.38,10.82,47.18,34.47,770601.99,arima_pct_error
22,6.16,7.53,13.41,6.75,812525.41,arima_pct_error
23,7.44,9.27,9.12,31.15,804687.25,arima_pct_error
24,4.06,8.87,4.76,30.08,755754.68,arima_pct_error
25,6.43,5.21,6.53,18.48,743110.14,linear_regression_pct_error
26,7.44,6.22,13.45,22.14,720513.65,linear_regression_pct_error
27,7.43,5.46,11.28,32.85,821573.72,linear_regression_pct_error
28,6.79,6.43,12.56,28.44,735726.92,linear_regression_pct_error
29,5.35,5.6,13.88,6.83,757428.88,arima_pct_error
30,7.11,7.94,20.22,30.94,753149.7,arima_pct_error
31,11.66,7.31,8.78,32.14,878988.16,linear_regression_pct_error
32,7.07,8.5,10.82,22.4,745426.32,arima_pct_error
33,0.59,4.43,0.38,37.32,761792.17,exp_smoothing_pct_error
