date,original,trend,seasonal,residual
2014-01-02,801011.226041,,-70100.29532617716,
2014-01-03,680672.845603,,26596.096132292514,
2014-01-06,602268.564009,,8424.339457712413,
2014-01-07,563450.5988595,,-39297.19780496294,
2014-01-08,636176.853478,,-61773.23060575886,
2014-01-09,496377.933414,,-29609.10458894058,
2014-01-10,543055.329066,,68388.73449616488,
2014-01-13,555547.0150185,,110146.2815550111,
2014-01-14,502643.104285,,30908.99703501245,
2014-01-15,567067.469069,,-2764.9024066745915,
2014-01-16,502789.214207,,40776.58620606367,
2014-01-17,542937.915657,,29619.260592620863,
2014-01-20,575850.061871,,44081.06402950401,
2014-01-21,538817.207912,,-54919.47767284316,
2014-01-22,553097.596874,,-52902.16491320288,
2014-01-23,460789.0398597,,9664.607825137544,
2014-01-24,526124.572256,,8590.562871459857,
2014-01-27,540798.833711,,47168.28636881329,
2014-01-28,481593.435798,,-59402.9225622106,
2014-01-29,512853.989922,,-60631.5130550505,
2014-01-30,453642.9707033,,-6067.437510427859,
2014-01-31,560816.192394,,-25164.70853246616,
2014-02-03,461637.5229585,,21497.25077497626,
2014-02-04,403189.5869763,,50230.68570348951,
2014-02-05,399138.3059075,,31038.194723717563,
2014-02-06,359139.101529,,71835.87897933937,
2014-02-07,389471.568011,,9362.84538378501,
2014-02-10,396622.737011,,19768.364807406833,
2014-02-11,358382.7339877,,96606.64207667635,
2014-02-12,387758.393971,,37231.73139354969,
2014-02-13,347373.2985675,,16101.675182271734,
2014-02-14,361206.4069057,,19677.410142662105,
2014-02-17,412029.2879535,,-27036.600179739195,
2014-02-18,365331.247942,,35464.61841599153,
2014-02-19,360161.6390075,,-45160.19307300054,
2014-02-20,322451.9201135,,25106.930641689672,
2014-02-21,369403.653633,,57849.91474940009,
2014-02-24,404224.188997,,-20695.83676898481,
2014-02-25,351418.110084,,2225.3503701288573,
2014-02-26,353604.266985,,-88033.34934836441,
2014-02-27,330330.185244,,5284.6579877752665,
2014-02-28,425624.795466,,22942.527935868464,
2014-03-03,613973.031386,,-35357.44833427867,
2014-03-04,748930.902096,,-5425.658205400585,
2014-03-05,741756.416525,,-87752.31853669231,
2014-03-06,614082.444339,,63795.79769830078,
2014-03-07,598242.341178,,179850.21569955023,
2014-03-10,587414.828974,,95104.36356649185,
2014-03-11,539365.375063,,90552.49029526392,
2014-03-12,575676.797032,,-52019.19461786213,
2014-03-13,473298.042544,,26694.910781057304,
2014-03-14,530515.2554715,,147586.45248523133,
2014-03-17,612719.522118,,29627.413381428676,
2014-03-18,537427.86875,,38852.39846239703,
2014-03-19,585974.657018,,-81750.60757927225,
2014-03-20,500897.112641,,95277.20297855801,
2014-03-21,548811.469984,,56066.1305734224,
2014-03-24,571762.044919,,-9187.809646069436,
2014-03-25,539861.6183493,,13987.649352933382,
2014-03-26,569680.543547,,-70731.48711960601,
2014-03-27,468581.39830400003,,13083.082262211232,
2014-03-28,538905.781947,,41422.856855614096,
2014-03-31,651800.509461,,-15535.073605256286,
2014-04-01,485079.887001,,-681.3257304135623,
2014-04-02,463917.316107,,-92851.66071903963,
2014-04-03,388867.961418,,-4986.140851786142,
2014-04-04,422578.745073,,135965.26913539134,
2014-04-07,426091.1040178,,266672.6622243945,
2014-04-08,376663.272105,,239111.44887661922,
2014-04-09,375309.08201199997,,67432.81902587354,
2014-04-10,334052.7571255,,97658.12181315733,
2014-04-11,379646.845927,,129970.27399832591,
2014-04-14,381386.309033,,40611.949018816566,
2014-04-15,364689.054991,,69418.40127233577,
2014-04-16,411357.084985,,-58012.06744185336,
2014-04-17,397464.842904,,16328.986290913876,
2014-04-18,394392.184115,,54150.342226080815,
2014-04-21,398677.396998,,45578.367558054844,
2014-04-22,370552.249018,,105274.25953425081,
2014-04-23,372232.595049,,-44347.36165910728,
2014-04-24,320875.477858,,14966.632862544604,
2014-04-25,357173.708433,,78337.1620383876,
2014-04-28,362271.9169815,,1636.4408019644761,
2014-04-29,326338.348031,,49345.49770585353,
2014-04-30,357079.964912,,-84344.03551238486,
2014-05-01,530380.848064,,3588.235323797082,
2014-05-02,443284.891212,,28364.83346985023,
2014-05-05,427601.704071,,-34494.90985892109,
2014-05-06,388945.890086,,66839.75938604072,
2014-05-07,391932.183945,,151521.23030319007,
2014-05-08,337483.713217,,185069.57044302695,
2014-05-09,381335.196055,,163307.0106924679,
2014-05-12,398251.889006,,48929.43524088302,
2014-05-13,360734.522978,,72449.01811271287,
2014-05-14,356373.806985,,-45784.92185944949,
2014-05-15,332272.8296378,,224213.29917616746,
2014-05-16,380822.742652,,71412.55663441563,
2014-05-19,388814.744958,,-65898.95625066107,
2014-05-20,354372.33997,,36475.85394927322,
2014-05-21,356898.483031,,-73930.7320835048,
2014-05-22,310660.142642,,41515.62911064875,
2014-05-23,349549.892726,,46665.705772651345,
2014-05-26,373831.086112,,6482.974576400811,
2014-05-27,327642.143098,,17888.41407116664,
2014-05-28,338481.784057,,-108678.63677808818,
2014-05-29,326624.5773325,,-17620.50209561632,
2014-05-30,375782.6398709,,-7271.653078147923,
2014-06-02,512725.7729758,,-70951.68586787385,
2014-06-03,443636.187975,,-59164.378871332636,
2014-06-04,423284.494993,,-147257.6346082833,
2014-06-05,359474.513823,,-23678.54183052179,
2014-06-06,391266.125449,,102892.27897083583,
2014-06-09,415798.946041,,373127.72244094196,
2014-06-10,351689.4229725,,194583.19726152823,
2014-06-11,373828.16418,,-11768.64412418312,
2014-06-12,329408.06736,,8950.202973671825,
2014-06-13,392308.374573,,20947.81352013057,
2014-06-16,447450.23987,,-39967.07495413652,
2014-06-17,380396.036044,,25535.176984626436,
2014-06-18,373408.6641423,,-157483.60183799954,
2014-06-19,332280.93509600003,,-38182.19076968219,
2014-06-20,369206.789547,,51515.71064982841,
2014-06-23,414929.6359765,,-46733.246204052135,
2014-06-24,340464.7450455,,17117.78538508479,
2014-06-25,355342.398017,,-107198.13906885592,
2014-06-26,315798.180924,,-2913.1286557788408,
2014-06-27,370793.573429,,27612.210953752612,
2014-06-30,429324.0552005,,-57243.88211195324,
2014-07-01,720480.616788,,-11804.443447418409,
2014-07-02,747430.1471275,,-140826.79438636627,
2014-07-03,583844.7207922,,-26764.111067521168,
2014-07-04,595424.31324,,89642.24013098852,
2014-07-07,638526.428909,,184206.95433091559,
2014-07-08,557291.4975265,,193164.23313350324,
2014-07-09,574451.409963,,2076.2991092059383,
2014-07-10,498047.54898,,73674.58817380467,
2014-07-11,535644.182793,,146191.8985329687,
2014-07-14,584867.15114,,35572.221958560505,
2014-07-15,562860.0268329,,70135.30099674406,
2014-07-16,621336.4939885,,-20942.100217703977,
2014-07-17,498221.7050971,,29389.73687155427,
2014-07-18,547619.0590519,,132618.32691308716,
2014-07-21,600228.430008,,100480.01193183915,
2014-07-22,530276.040011,,180157.70779844746,
2014-07-23,574168.635995,,129749.60048756246,
2014-07-24,484618.8170115,,212779.22870152083,
2014-07-25,579767.285128,,391392.78821029083,
2014-07-28,583936.68549,,459166.0938094908,
2014-07-29,524743.3250017,,512442.3121645551,
2014-07-30,578056.965281,,399160.5209764346,
2014-07-31,532423.558194,,104247.5280547263,
2014-08-01,506826.7949305,,184892.46839872352,
